Title	Authors
AUTOCORRELATION-BASED FIDUCIAL MARKERS FOR TRACEABILITY	BENCHEIKH ISMAIL , Max Dunitz , Marie d'Autume , Marc Pic , Enric Meinhardt-Llopis , Gabriele Facciolo , Pablo Musé
QC-SF: Improving Computer Vision for Airborne LiDAR Point Clouds of Boreal Forests with Quebec Simulated Forest Dataset	Olivier Stocker , Reza Mahmoudi Kouhi , Omid Reisi Gahrouei , Thierry Badard , Eric Guilbert
ControlEvents: Controllable Synthesis of Event Camera Data with Foundational Prior from Image Diffusion Models	Yixuan Hu , Yuxuan Xue , Simon Klenk , Daniel Cremers , Gerard Pons-Moll
SurfDist: Interpretable Three-Dimensional Instance Segmentation Using Curved Surface Patches	Jackson Borchardt , Saul Kato
ReBrain: Brain MRI Reconstruction from Sparse CT Slice via Retrieval-Augmented Diffusion	Junming Liu , Yifei Sun , Weihua Cheng , Yujin Kang , Yirong Chen , Ding Wang , Guosun Zeng
MSRTrack: LLM-Powered Object Tracking with Motion and Semantic Reasoning	Tong Shen , Di Wang , José Moura
CONCORD: Concept-Informed Diffusion for Dataset Distillation	Jianyang Gu , Haonan Wang , Ruoxi Jia , Saeed Vahidian , Vyacheslav Kungurtsev , Wei Jiang , Yiran Chen
Detection-Driven Object Count Optimization for Text-to-Image Diffusion Models	Oz Zafar , Yuval Cohen , Lior Wolf , Idan Schwartz
Accelerated Dose Generation in Gamma Knife Radiosurgery Using a Wavelet Diffusion Model for Sparse Representation	Sangyoon Lee , Shubhendu Mishra , Yoichi Watanabe
Uplifting Table Tennis: A Robust, Real-World Application for 3D Trajectory and Spin Estimation	Daniel Kienzle , Katja Ludwig , Julian Lorenz , Shin'ichi Satoh , Rainer Lienhart
A framework for real-time Surgical Phase Recognition with application to Robot-Assisted Partial Nephrectomy	Marco Mezzina , Tom Vercauteren , Tinne Tuytelaars , Matthew Blaschko
4D-Animal: Freely Reconstructing Animatable 3D Animals from Videos	Shanshan Zhong , Jiawei Peng , Zehan Zheng , Zhongzhan Huang , Wufei Ma , Guofeng Zhang , Qihao Liu , Alan Yuille , Jieneng Chen
A Novel Metric for Detecting Memorization in Generative Models for Brain MRI Synthesis	Antonio Scardace , Lemuel Puglisi , Francesco Guarnera , Sebastiano Battiato , Daniele Ravi
VIZOR: Viewpoint-Invariant Zero-Shot Scene Graph Generation for 3D Scene Reasoning	Madhavaram Vivek Vardhan , Vartika Sengar , Arkadipta De , Charu Sharma
Semi-supervised Domain Adaptation via Mutual Alignment through Joint Error	Dexuan Zhang , Thomas Westfechtel , Tatsuya Harada
Fused Similarity Measure Based Alignment with Dual-Scale Adaptive Selection for Weakly Supervised Video Anomaly Detection	Yuegao Lu , Hong-Jie Xing , Chun-Guo Li
Distilling Diversity and Control in Diffusion Models	Rohit Gandikota , David Bau
Automated Pore Detection from In-Situ FDM 3D Printing Video: A Comparative Evaluation of Modern Segmentation Models	Abdullah Al Ahad Khan , Md Islam , Lin Li , Lai Jiang , Noushin Ghaffari
