Title	Authors
Text Slider: Efficient and Plug-and-Play Continuous Concept Control for Image/Video Synthesis via LoRA Adapters	Pin-Yen Chiu , I-Sheng Fang , Jun-Cheng Chen
VitaGlyph: Vitalizing Artistic Typography with Flexible Dual-branch Diffusion Models	Kailai Feng , Yabo Zhang , Haodong Yu , Zhilong Ji , Jinfeng Bai , Hongzhi Zhang , Wangmeng Zuo
PoseGaussian: Pose-Driven Novel View Synthesis for Robust 3D Human Reconstruction	Ju Shen , Chen Chen , Tam Nguyen , Vijayan Asari
STEG-AIW: Spatio-Temporal Gating and Adaptive-Timestep Inference for Efficient Spiking Neural Networks	Gulfam A Saju , Anton Spirkin , Felipe Marcelino , Yuchou Chang
Workzone3D: A Multimodal Dataset for 3D Work Zone Perception in Autonomous Driving	Shounak Sural , Nishad Sahu , Ragunathan Rajkumar
Prompt-OT: An Optimal Transport Regularization Paradigm for Knowledge Preservation in Vision-Language Model Adaptation	Xiwen Chen , Wenhui Zhu , Peijie Qiu , Hao Wang , Huayu Li , Haiyu Wu , XUANZHAO DONG , Aris Sotiras , Yalin Wang , Abolfazl Razi
HumanGuideNet: Adapter-Based Alignment of Deep Neural Networks with Human Similarity Judgments	Xufu Liu , Yifan Yang , Zhengxin Zhang
PrevMatch: Revisiting and Maximizing Temporal Knowledge in Semi-Supervised Semantic Segmentation	Wooseok Shin , Hyun Joon Park , Jin Sob Kim , Juan Yun , Se Park , Sung Han
Zero-Shot Table Extraction in Business Documents: A Unified Benchmark with Error Taxonomy and Ecological Analysis	Eliott THOMAS , Mickael Coustaty , Aurélie JOSEPH , Tri-Cong Pham , Gaspar DELOIN , Elodie CAREL , Vincent d'Andecy , Jean-marc Ogier
MAESTRO: Masked AutoEncoders for Multimodal, Multitemporal, and Multispectral Earth Observation Data	Antoine Labatie , Michael Vaccaro , Nina Lardiere , Anatol Garioud , Nicolas Gonthier
ZebraPose: Zebra Detection and Pose Estimation using only Synthetic Data	Elia Bonetto , Aamir Ahmad
IMPACT: Interpretable Most Important Person Analysis and Classification using Transformer-based Models	Akshat Rampuria , Kamakshya Nayak , Kamalakar Thakare , Tushar Joshi , Aditya Singh , Haesol Park , Heeseung Choi , Debi Dogra , Ig-Jae Kim
MapVerse: A Benchmark for Geospatial Question Answering on Diverse Real-World Maps	Sharat Bhat , Harshita Khandelwal , Tushar Kataria , Vivek Gupta
FuLLaMa: Training-free Diffusion-based Object Removal with Context Preservation	Ilke Demir , Umur Ciftci
HistoMILKD: A Multiple Instance Learning based Multi-Teacher Knowledge Distillation Framework for Whole Slide Image Classification	Mayur Mallya , Ali Khajegili Mirabadi , Hossein Farahani , Ali Bashashati
Perceptually Guided 3DGS Streaming and Rendering for Mixed Reality	Yunxiang Zhang , Sai Mupparaju , Kenneth Chen , Jenna Kang , Xinyu Zhang , Maito Omori , Kazuyuki Arimatsu , Qi Sun
Cycle-consistent Multi-graph Matching for Self-supervised Annotation of C. Elegans	Sebastian Stricker , Christoph Karg , Lisa Hutschenreiter , Bogdan Savchynskyy , Dagmar Kainmueller
R3: Reconstruction, Raw, and Rain: Deraining Directly in the Bayer Domain	Nate Rothschild , Moshe Kimhi , Avi Mendelson , Chaim Baskin
SmoothDiffusion-VE: Real-time Generative Video Editing Using Adaptive Feature Cache	Mustafa Munir , Sophia Zalewski , Shiqiu Liu , David Tarjan , Sushmitha Belede , Anjul Patney , Radu Marculescu
Sun-E: Dataset and Benchmark for Event-Based Sun Sensing	Sydney Dolan , Alessandro Golkar
Dressing the Imagination: A Dataset for AI-Powered Translation of Text into Fashion Outfits and A Novel NeRA Adapter for Enhanced Feature Adaptation	Gayatri Deshmukh , Somsubhra De , Chirag Sehgal , Jishu Gupta , Sparsh Mittal
Mitigating Object and Action Hallucinations in Multimodal LLMs via Self-Augmented Contrastive Alignment	Kai-Po Chang , Wei-Yuan Cheng , Chi-Pin Huang , Fu-En Yang , Frank Wang
NerVast: Compression-Efficient Scaling of Implicit Neural Video Representations via Scene-based Parameter-sharing	Yunheon Lee , Juncheol Ye , Jaehong Kim , Dongsu Han
End-to-End Fine-Tuning of 3D Texture Generation using Differentiable Rewards	Amirhossein Zamani , Tianhao Xie , Amir Aghdam , Tiberiu Popa , Eugene Belilovsky
Reverse Personalization	Han-Wei Kung , Tuomas Varanka , Nicu Sebe
DiffRegCD: Integrated Registration and Change Detection with Diffusion Features	Seyedehanita Madani , Rama Chellappa , Vishal Patel
SymNet: A Multi-Task Network for Joint Radio Map Reconstruction and Transmitter Localization	Lyuzhou Ye , Thanh Le , Yan Huang
FSP-DETR: Few-Shot Prototypical Parasitic Ova Detection	Shubham Trehan , Udhav Ramachandran , Akash Rao , Ruth Scimeca , Sathya Aakur
